Frequencia (Hz),Amplitude (dB)
2036.4,139.86
969.02,139.86
2012.93,139.86
2020.82,139.85
959.96,139.85
1965.01,139.85
227.4,139.84
1945.05,139.83
2032.5,139.83
248.73,139.83
184.84,139.83
2046.33,139.83
250.39,139.83
2008.55,139.82
1968.33,139.81
370.66,139.81
753.3,139.8
748.24,139.79
1970.76,139.78
751.74,139.78
260.81,139.78
363.65,139.78
263.73,139.77
739.18,139.77
1956.25,139.77
917.11,139.77
980.61,139.75
233.54,139.75
7986.18,139.75
1950.31,139.75
1014.01,139.75
910.39,139.75
736.75,139.74
734.99,139.74
967.95,139.74
1949.33,139.74
380.5,139.73
2014.78,139.72
754.47,139.71
187.77,139.71
946.72,139.71
1927.81,139.71
748.82,139.7
741.32,139.7
1949.82,139.69
844.75,139.69
828.19,139.69
781.84,139.69
1942.32,139.68
952.66,139.68
2033.58,139.68
1984.88,139.68
561.35,139.67
2034.55,139.67
1019.76,139.66
1306.28,139.66
1922.36,139.66
933.18,139.66
238.12,139.65
960.84,139.65
317.1,139.63
1947.09,139.62
248.15,139.62
1920.61,139.61
321.58,139.6
539.73,139.6
606.44,139.59
212.21,139.59
1031.93,139.59
553.75,139.58
380.4,139.58
1978.65,139.57
740.25,139.57
1108.28,139.55
244.74,139.55
1928.49,139.54
560.67,139.54
1937.65,139.54
7983.74,139.54
1001.35,139.53
2001.73,139.52
808.33,139.52
916.04,139.52
808.62,139.51
653.19,139.51
967.27,139.51
998.63,139.49
691.95,139.49
2014.88,139.49
1952.06,139.48
233.34,139.48
364.04,139.48
1150.06,139.48
1969.98,139.48
1936.38,139.47
743.17,139.47
370.17,139.47
827.9,139.47
1952.26,139.45
551.22,139.45
1038.46,139.45
837.35,139.45
760.51,139.44
975.25,139.43
784.37,139.43
1007.2,139.43
989.37,139.42
1950.11,139.42
1286.02,139.41
1002.23,139.41
188.93,139.41
331.9,139.4
1920.41,139.4
1904.54,139.4
238.02,139.4
845.34,139.4
553.46,139.39
1941.45,139.39
538.37,139.39
363.26,139.39
367.74,139.38
1977.87,139.38
1942.23,139.38
286.13,139.38
1322.93,139.37
908.83,139.37
556.87,139.37
246.59,139.37
1953.23,139.36
772.29,139.35
964.34,139.35
1129.32,139.35
1960.92,139.35
188.45,139.35
1964.62,139.34
1195.06,139.34
560.38,139.33
962.49,139.33
349.43,139.33
843.29,139.33
1330.23,139.32
922.27,139.32
840.56,139.31
915.94,139.31
656.3,139.31
1922.16,139.31
1945.15,139.3
349.33,139.3
299.96,139.3
1012.84,139.3
223.51,139.29
754.57,139.29
559.11,139.29
1018.1,139.28
1926.55,139.28
261.1,139.28
